"V1","V2","V3","V4","V5"
32,"3PL",0.0671833218273102,0.311025325026036,0.0900421996308011
33,"3PL",0.100999725219689,0.154172494139742,0.0607989803365711
34,"3PL",0.117472509826393,0.149329976596918,0.0467366179781442
35,"3PL",0.164364277314958,0.0938656635097247,0.02707896075731
36,"3PL",0.0739339048067229,0.148359863717075,0.0623504596744254
37,"3PL",0.0672707986418757,0.117431959629879,0.0331700263057351
38,"3PL",0.217709277002081,0.133909654875673,0.0168246600438016
39,"3PL",0.13078682227722,0.0937241801916324,0.0315669389213421
40,"3PL",0.0683907669468692,0.1659311302105,0.0712882027842309
41,"3PL",0.0498470743166914,0.278779437073197,0.0683578714760346
42,"3PL",0.0636007585888439,0.131851335449095,0.0550757144866506
43,"3PL",0.124499580126143,0.288530491354098,0.0706301149306446
44,"3PL",0.128859819442619,0.0721059968923684,0.0229548918191241
45,"3PL",0.0828314421250208,0.0842281098486318,0.0369290549764736
46,"3PL",0.0975348655914307,0.163537977872849,0.0683252539548618
47,"3PL",0.094499063187638,0.273077721812785,0.0792768331583873
48,"3PL",0.111791869709715,0.146779238049237,0.0584833201285424
49,"3PL",0.110370852142166,0.133757124783794,0.0444885495826341
50,"3PL",0.10833242807492,0.141120818166629,0.045798940553389
51,"3PL",0.256854859694597,0.234684490100438,0.0239437838983326
52,"3PL",0.119528984766633,0.0987080052590976,0.0633516109089833
53,"3PL",0.328518707024956,0.0737607655614764,0.025068935018159
54,"3PL",0.105244785071668,0.0933611615578507,0.0406576237881719
55,"3PL",0.209266725637443,0.0557485351930505,0.0107824932028188
56,"3PL",0.0939979726404101,0.285552599787721,0.0626467482803403
57,"3PL",0.210431416586877,0.0662678372854507,0.0206089849362178
58,"3PL",0.0874406361222979,0.187054892025655,0.0769921227117106
59,"3PL",0.0656465527936583,0.179509166586298,0.0711966964477824
60,"3PL",0.114775581133672,0.140713914543096,0.0655313163741168
61,"3PL",0.120089615459299,0.0704731464659767,0.0345414132844089
62,"3PL",0.291809226734423,0.058272005336279,0.0163545175047275
63,"3PL",0.348664899263208,0.0466837732266728,0.0153315362856919
64,"3PL",0.254018933168167,0.0530003029918503,0.0162481143135752
65,"3PL",0.340297781538071,0.093869949026051,0.0102213371387054
66,"3PL",0.115921336148209,0.162886227106412,0.0644416836320777
67,"3PL",0.114028827970145,0.134704421733583,0.0523188540414348
68,"3PL",0.071032603530199,0.124147411749048,0.04839051705049
69,"3PL",0.145840610021865,0.124425659354078,0.0483782479241984
70,"3PL",0.0713282590797382,0.188787195232942,0.0726035126435654
71,"3PL",0.127672794348762,0.14130316039064,0.0495335293127373
72,"3PL",0.247238765541764,0.05628781695073,0.0150433946623416
73,"3PL",0.121628203794787,0.0887255352896713,0.0347746285856494
74,"3PL",0.132502250172552,0.121231881055053,0.0418430724204029
75,"3PL",0.101945340468034,0.0963431743062171,0.0431175650505899
76,"3PL",0.0546962182812195,0.37606546429926,0.0853911303373724
77,"3PL",0.110561591302951,0.08229673562287,0.0323088891759608
78,"3PL",0.0765158821009903,0.351978499601647,0.0862355464649491
79,"3PL",0.0721046542909562,0.117635976776361,0.048569486701584
80,"3PL",0.0724303650745366,0.114633359136194,0.0506627375698262
81,"3PL",0.278447642573294,0.073738051461753,0.02848960513653
82,"3PL",0.213699933406511,0.0755826214609295,0.0144408447294903
83,"3PL",0.140614570018639,0.361945312600286,0.073225276822024
84,"3PL",0.267015735149872,0.194272392323907,0.0112574513932588
85,"3PL",0.120960803027973,0.0805336335034342,0.0374001787582319
86,"3PL",0.103981812359937,0.245750935759493,0.075263951226546
87,"3PL",0.19950590755674,0.115612875551014,0.0205630872367695
88,"3PL",0.106761331386528,0.26585457657078,0.0699591394147277
89,"3PL",0.0748180644193704,0.16222794254616,0.0640807253327584
90,"3PL",0.126493152205782,0.278041590210054,0.0726748390984722
91,"3PL",0.135323385056295,0.0680232737655165,0.030012384558578
92,"3PL",0.0813646935259147,0.29342663698751,0.087274310875708
93,"3PL",0.0626053027334409,0.187341381935694,0.0644804322628379
94,"3PL",0.0635733262123159,0.0955872040758692,0.0390504950819586
95,"3PL",0.0718711993161621,0.129123977502082,0.0562401780322997
96,"3PL",0.0827131331439433,0.120710638252877,0.0433958645078265
97,"3PL",0.114592177653278,0.187001665800771,0.0587815967189425
98,"3PL",0.0784402975262146,0.244450496936705,0.0672969659106946
99,"3PL",0.0801226793954988,0.181377318038251,0.0635032897428784
100,"3PL",0.14380027417394,0.0986395745073706,0.0545051944325236
101,"3PL",0.114868206129623,0.0593278452369384,0.0217355848410865
102,"3PL",0.17433853125072,0.0541879664513783,0.0145821168570844
103,"3PL",0.111166996965925,0.128285674117892,0.0701672885758895
104,"3PL",0.199263415200525,0.0696759827450435,0.0228667500316075
105,"3PL",0.0993133007381303,0.263880893473645,0.0623696906377734
106,"3PL",0.100990167623483,0.181358050236273,0.0805588724087295
107,"3PL",0.0892816145369058,0.130417027912097,0.0536963746019958
108,"3PL",0.0899537318911306,0.122940407746376,0.0507058171608439
109,"3PL",0.0951613758351028,0.13912909501247,0.0458956874304498
110,"3PL",0.178803612303748,0.101824330869989,0.0320765973410527
111,"3PL",0.141959446235668,0.0574217957658246,0.0232913895309716
112,"3PL",0.0610531059184126,0.170986560056092,0.0639783153398777
113,"3PL",0.145898286079963,0.0836002068478898,0.0255610899536915
114,"3PL",0.118049468875363,0.220834363106007,0.087180102053714
115,"3PL",0.226707886325869,0.102742382617253,0.0281448617485575
116,"3PL",0.0722737042641985,0.319765095791725,0.0785876111683331
117,"3PL",0.0614425436611274,0.120835373219373,0.0438360177412636
118,"3PL",0.105951931673007,0.257471184833151,0.0736418531085262
119,"3PL",0.107775947944677,0.165791289148657,0.0685055969707389
120,"3PL",0.194136290549571,0.0799810025319336,0.0300416433718898
121,"3PL",0.180644280624475,0.0741229283176088,0.0224122392781922
122,"3PL",0.127885623353808,0.155919372671591,0.0625008429476204
123,"3PL",0.0823549086168091,0.0625228434730601,0.0267423335595755
124,"3PL",0.130868131971495,0.104310132966429,0.0347843025008328
125,"3PL",0.0885606336767757,0.14890771631772,0.050833530988259
126,"3PL",0.116048485950615,0.114916763318569,0.0443129572955242
127,"3PL",0.091732348728694,0.0923448862301018,0.044723237882548
128,"3PL",0.259242904513787,0.259072058694224,0.0304162619195231
129,"3PL",0.342268786448542,0.207491368218837,0.0160016975128285
130,"3PL",0.275358525557043,0.202097945709438,0.0232485830162321
131,"3PL",0.10536704339851,0.174401626759304,0.0794344225304644
132,"3PL",0.127089559739225,0.125207785085784,0.06100244258514
133,"3PL",0.123685496857802,0.160243356884355,0.0507435488285031
134,"3PL",0.0989216701558428,0.191291591833393,0.0559770697963526
135,"3PL",0.174130759434382,0.081921472632661,0.0297561965767192
136,"3PL",0.104562717605759,0.147406849378906,0.0719346727015581
137,"3PL",0.0671655673036324,0.395516402073564,0.0817507355645979
138,"3PL",0.10714013746329,0.174412688835366,0.0853247850725521
139,"3PL",0.239064365142498,0.0796277666853787,0.0144850434119238
140,"3PL",0.0927718404572047,0.22207165570221,0.0751388821549206
141,"3PL",0.190452758550656,0.0732789383339882,0.0261681043292435
142,"3PL",0.284979630061715,0.0703796250676187,0.0119202528440377
143,"3PL",0.295989540175561,0.140891981664626,0.0196527919186782
144,"3PL",0.0817997775135177,0.163636396263433,0.0718977559005842
145,"3PL",0.149882913394394,0.624706889943895,0.0439258751981608
